label,Happiness Score,amount
2005,6.446259259,6.446259259
2006,5.196898876,-1.249360383
2007,5.41827451,0.221375633
2008,5.418509091,0.000234581
2009,5.457666667,0.039157576
2010,5.496806452,0.039139785
2011,5.424082192,-0.07272426
2012,5.443753521,0.019671329
2013,5.394562044,-0.049191477
2014,5.38902069,-0.005541354
2015,5.404034965,0.015014275
2016,5.399478873,-0.004556092
2017,5.460408163,0.06092929
2018,5.499443662,0.039035499
2019,5.570868056,0.071424394
2020,5.8406,0.269731944
